currency,scenario,option_tenor,swap_tenor,market_price,model_price
EUR,short_up,6.0,5.0,0.0008498275580488497,0.0007158004007607025
EUR,short_up,5.0,6.0,0.0009421094052410036,0.0007523340909857764
EUR,short_up,4.0,7.0,0.0010528405082463692,0.0010528385940976083
EUR,short_up,3.0,8.0,0.001055440748433699,0.0010848096907075306
EUR,short_up,2.0,9.0,0.0011051866243442401,0.0011042476934291906
EUR,short_up,1.0,10.0,0.0010064179464164859,0.0014423933385998761
EUR,short_down,10.0,1.0,0.00018082978461984067,0.000814965290045548
EUR,short_down,9.0,2.0,0.00044990766492265176,0.0009630272888825305
EUR,short_down,8.0,3.0,0.000693527745179413,0.0010270534642618971
EUR,short_down,7.0,4.0,0.000853711615677554,0.001066938263564608
EUR,short_down,6.0,5.0,0.0010605773109879854,0.0011015621997360128
EUR,short_down,5.0,6.0,0.0011345285617515152,0.001134528380275667
EUR,short_down,4.0,7.0,0.0012718526521903757,0.00108251332417138
EUR,short_down,3.0,8.0,0.0012473756694919781,0.0011145780665441274
EUR,short_down,2.0,9.0,0.0012370006747580797,0.0011419056286820133
EUR,short_down,1.0,10.0,0.0010518571821051775,0.0010518566620705463
EUR,vol_shift,10.0,1.0,0.0002231343088872311,0.00030143406990910693
EUR,vol_shift,9.0,2.0,0.0005041070407103965,0.0005715735782713513
EUR,vol_shift,8.0,3.0,0.0007555072340654807,0.0008140976976955079
EUR,vol_shift,7.0,4.0,0.0009384883161481762,0.0010248070510216235
EUR,vol_shift,6.0,5.0,0.0011665060059411851,0.0011996497705940808
EUR,vol_shift,5.0,6.0,0.0012757886250110279,0.0013322049721830253
EUR,vol_shift,4.0,7.0,0.0014152351148309778,0.0013980407747606768
EUR,vol_shift,3.0,8.0,0.0014069974145994063,0.0014069973979267576
EUR,vol_shift,2.0,9.0,0.0014108816425156736,0.0013151080933084176
EUR,vol_shift,1.0,10.0,0.0012215234283599375,0.001031962663582287
HKD,base,10.0,1.0,0.00023952916907793412,0.00035457949845505424
HKD,base,9.0,2.0,0.0005402528087033966,0.0006552444404888909
HKD,base,8.0,3.0,0.0008434080919139011,0.0009231968221621713
HKD,base,7.0,4.0,0.0010801019500824257,0.0011548227013204345
HKD,base,6.0,5.0,0.0013047520432335812,0.0013496565092584794
HKD,base,5.0,6.0,0.0014847864833137402,0.0015035684037161242
HKD,base,4.0,7.0,0.0015662333477795371,0.0015662333437533615
HKD,base,3.0,8.0,0.0016823800991181725,0.0015952908477412475
HKD,base,2.0,9.0,0.0015817489894762392,0.001514012843806302
HKD,base,1.0,10.0,0.001413809317409432,0.0011798727858700678
HKD,up,10.0,1.0,0.0002821296887586671,0.0004160371741911049
HKD,up,9.0,2.0,0.0006414939091936429,0.0007752596322851333
HKD,up,8.0,3.0,0.0010112979301747196,0.0010979271756585624
HKD,up,7.0,4.0,0.0013089650535933876,0.0013835594019799215
HKD,up,6.0,5.0,0.001598823302387612,0.0016327685619798493
HKD,up,5.0,6.0,0.001840243863740355,0.0018411963765042495
HKD,up,4.0,7.0,0.0019631630110873172,0.001963163010584289
HKD,up,3.0,8.0,0.0021334212297916596,0.002036329608813437
HKD,up,2.0,9.0,0.0020301371676345664,0.001975413829819565
HKD,up,1.0,10.0,0.0018371098847303267,0.0016049806903081542
HKD,down,10.0,1.0,0.00016095691369004,0.0002449365196610078
HKD,down,9.0,2.0,0.00036144517349727233,0.00044035456663587993
HKD,down,8.0,3.0,0.0005594429761632069,0.000611393249167052
HKD,down,7.0,4.0,0.0007089480049996565,0.0007535892273928949
HKD,down,6.0,5.0,0.0008467765333845509,0.0008677542978780787
HKD,down,5.0,6.0,0.0009523720843825405,0.0009523720883731177
HKD,down,4.0,7.0,0.000993555879679741,0.0009579196442141756
HKD,down,3.0,8.0,0.0010547992573676289,0.0009593011320566602
HKD,down,2.0,9.0,0.0009793904504172427,0.0008930111682623476
HKD,down,1.0,10.0,0.0008641842191588706,0.0006575884696295107
HKD,steepener,10.0,1.0,0.0002189679648009026,0.00033991521604787765
HKD,steepener,9.0,2.0,0.0004636186562535891,0.0006190663941549769
HKD,steepener,8.0,3.0,0.0007070041043985035,0.0007847233192800439
HKD,steepener,7.0,4.0,0.0009019121022584223,0.000901911298924728
HKD,steepener,6.0,5.0,0.001093572607553669,0.000989561438506179
HKD,steepener,5.0,6.0,0.0012539822100043447,0.001058678711741079
HKD,steepener,4.0,7.0,0.0013164587443003362,0.0013164585723791982
HKD,steepener,3.0,8.0,0.0014185698233812607,0.0013630890175697604
HKD,steepener,2.0,9.0,0.0013518288730297733,0.0013754084454554295
HKD,steepener,1.0,10.0,0.001230050882664797,0.0015585252529164222
HKD,flatten,10.0,1.0,0.0002607190042987217,0.0006233481787457873
HKD,flatten,9.0,2.0,0.0006134836271236778,0.0009771376624014907
HKD,flatten,8.0,3.0,0.0009737893418027493,0.001244208354456821
HKD,flatten,7.0,4.0,0.0012531756347973382,0.0014396755727388978
HKD,flatten,6.0,5.0,0.001514177954882798,0.0015926091725417073
HKD,flatten,5.0,6.0,0.0017191104288896246,0.0017191104287262037
HKD,flatten,4.0,7.0,0.0018233530688870443,0.0016568007173546817
HKD,flatten,3.0,8.0,0.001959283802329071,0.0017279042575413354
HKD,flatten,2.0,9.0,0.001830018943422288,0.0017284708421079996
